4x9e:A:A1	A_A H69 H117 D268
4ip2:A:A1	A_A H188 E229
3i8b:A:A1	A_A E189 L191 T240
4q7f:A:A1	A_A D56 N93 H191 H231
1ka2:A:A1	A_A H269 H273 E299
1glj:Y:Y1	Y_Y D10 D245
1cw3:A:A1	A_A T39 V40 D109 Q196
4oeu:A:A1	A_A N31 S134
2z4t:A:A1_A2_A3	A_A Y349 S352 L354 N356 D399:A_A D122 H123 A124 T128 G152 R153:A_A E301 P302 S303
4c12:A:A1_A2	A_A T115 T137 E177:A_A T111 K114 H205
4osq:A:A1	A_A N504 D573
1v25:A:A1	A_A T184 E328
3omb:A:A1	A_A D198 N200 N202 Q204 D206 E207
3ulk:A:A1_A2	A_A D217 E389 E393:A_A D217 E221
3qe5:A:A1	A_A R1018 D1150
4x0u:D:D1	D_D E121 D124
4kjg:A:A1_A2_A3	A_A D42 S155 E311:A_A E216 F269 E270 D285:A_A S342 T345
1u3c:A:A1_A2	A_A N238 R239 T246 T247 H358:A_A K241 S244 T246 H358
3fp2:A:A1	A_A S265 S268 S563
1m0w:A:A1	A_A E146 E386
1e1z:P:P1	P_P D29 D30 S69 D281 N282
4mhx:B:B1_B2	B_B R117 Q166 R169 P170 F171:B_B T421 W423 K425 D426
2yqc:A:A1	A_A N74 T77
4cns:A:A1_A2	A_A D128 G464 G466:A_A K254 I279 T303
1wne:A:A1	A_A D238 V239 D240 D339 I340
4l87:A:A1_A2	A_A K376 D378 E391:A_A E246 R302
2cja:B:B1_B2	B_B R336 E338:B_B T414 D416 E432 N435
2qpt:A:A1	A_A T72 T94
1ecb:A:A1	A_A D366 D367
3t5t:B:A6_A7_B1_B2_B3	B_A R114 Y190:B_A Y110 S187:B_B D55 D59:B_B R218 E412:B_B H287 G289 A297 V320 R321 M322
4g6h:A:A1_A2_A3	A_A T189 G192:A_A V266 S297:A_A P48 Q49 S51 K53 N55
3vmm:A:A1_A2	A_A E311 E324:A_A E109 K138 L182 A183 E324
3jys:A:A1	A_A F291 D404 D406
4zkd:A:A1	A_A S281 S333
4l3a:A:A1	A_A S280 Y283 N322
1gqy:A:A1	A_A T130 E173
4ja9:A:A1_A2	A_A D242 H244 D271 H427:A_A D242 D271 N303 H352 H427
5a2w:B:B1	B_B S226 D237 D239
4bep:A:A1	A_A S106 F107
2zox:A:A1_A2	A_A R75 N164 S223 Q307 T372:A_A T188 R285
3lij:A:A1	A_A N189 D205
4d2i:A:A1	A_A S155 E180
4ppm:A:A1	A_A A722 Y725 V728
5d8g:A:A1_A2	A_A Q119 E293:A_A D53 R334 H358 T421 I422
4zkf:A:A1	A_A H456 D496 N498
2hkj:A:A1	A_A R105 G106
2v0n:A:A1_A2_A3	A_A D10 D53 M55:A_A D327 I328 E370:A_A D327 E370 E371
1fxx:A:A1	A_A D15 Y102 D108
1mus:A:A1_A2	A_A S178 S181:A_A E451 E454
4qf5:A:A1_A2	A_A T126 N150 E172:A_A H202 K216
4cls:A:A1	A_A D47 D99
3vat:A:A1	A_A H115 D285 D367
3pt1:A:A1	A_A D254 N255 D292
4j9v:A:B1	A_B Q84 A116
3f85:A:A1	A_A S180 R182
3fhd:A:A1	A_A E184 D221 E244 I245
1wqa:A:A1	A_A S101 D243 D245 D247 R248
3c8v:C:C1	C_C E88 H124 H150 H317
4efc:A:A1	A_A D285 D289
4f0p:B:B1	B_B E301 D334 Q355 A356
2r7d:A:A1	A_A D93 D102
3mx3:A:A1	A_A F58 D61 E62
4u94:A:A1	A_A Q310 D322
2x2y:A:A1	A_A A347 A348 D349 T352
3vb9:B:B1_B2	B_B A132 G133 M134 R191 S349 M352 Q361:B_B N104 Y109 R191 Y363 F460
4ncf:A:A1	A_A K418 T419
1yfr:A:A1	A_A E174 E191 N194
4acb:A:A1	A_A T19 T46
5c5h:B:B1	B_B W60 N61 P183
3b2s:A:A1	A_A S361 N362
2j0w:A:A1	A_A G199 D202
3euk:F:F1	F_F S72 Q1435
1ec9:A:A1	A_A K205 K207 D235 E260 N289
4x4q:A:A1_A2	A_A S47 E59 D61:A_A D61 D110
2yvx:A:A1_A2_A3_B1	A_A E216 E258 D259 D418:A_A D91 D92 E166 D247:A_A A223 D226:A_B D246 D250
4a35:A:A1_A2	A_A K224 D254 E280 E309:A_A Y191 D376 Y377 S381 S383 R387
2vos:A:A1	A_A D202 H356
3gqc:B:B1_B2	B_B D423 M424 D570:B_B T647 N648 L649 P650 V652
4l8n:A:A1	A_A E258 E288 D289
2oh2:B:B1	B_B D107 M108 D198 K328
2xsp:A:A1	A_A L157 F160 P161 N163
4dzh:A:A1	A_A E288 N320 D322
3nem:B:B1	B_B E361 S364
4pu5:A:A1	A_A N311 D328
3upl:A:A1	A_A D167 E168 E232
1wvm:B:B1_B2_B3	B_B D404 L405 G409 D411 T414 G415 Y416 G417:B_B A169 S170 Y171 V174 Q195:B_B V174 M175 S176 Q195 E197
4ux3:A:A1	A_A S39 E1155
1mxg:A:A1_A2_A3	A_A D252 D256 I292:A_A D347 D349 E350:A_A G24 E80 E88
2yl6:A:A1_A2	A_A T520 P521 S522:A_A K197 N265 R524 Y525
3wrx:C:A1	C_A N978 Y981 G983
5bvc:A:A1	A_A G22 D26
2y4o:A:A1	A_A A207 S209 L211 V233
1bif:A:A1	A_A K51 T52 D128
1cg0:A:A1	A_A D13 G40
1vcl:A:A1_A2	A_A N32 I33 N72 V73 I131:A_A N177 V178 N218 V219 D265 V266
3bzn:A:A1	A_A E284 E416
3mr2:A:A1_A2	A_A D13 M14 D115 K231:A_A D13 D115 E116
4bql:B:B1	B_B D17 K24 V402
4d26:A:A1	A_A K230 Q339
4p0g:A:A1	A_A G109 D203
5a60:A:A1_A2	A_A E6 E160:A_A E4 E6 E162
4b61:A:A1	A_A A136 T139 Y141 E144
2uag:A:A1_A2	A_A D182 H183:A_A S116 E157
4x8d:A:A1	A_A E11 Q15 D406
2x5f:B:B1	B_B G128 V132 N156
4gi2:A:A1	A_A V76 N77 C188 N405
2vjk:A:A1	A_A D294 D297
3fef:A:A1	A_A C173 H210
2xam:B:B1	B_B D407 S409
5ady:6:61	6_6 K210 S211 T231 D251
4hpp:A:A1	A_A E133 E180 E187
3nvs:A:A1	A_A E123 Q145
2vu9:A:A1	A_A D1089 N1093
4nmn:A:A1	A_A T213 E237
4xru:C:C1	C_C Q64 Y122 Y181
4ief:H:H1	H_H E254 D258
2npi:A:A1	A_A T137 Q164
1tqy:A:A1	A_A N307 A308 E355 T400 V401
3hrd:A:A1_A2	A_A T207 N209 D213 K242 L243 D244 Q248:A_A H279 T306 Y309 A310 S347
2gwc:A:A1	A_A E107 E159 E165
3tpt:B:B1_B2	B_B Q155 D332 I334:B_B H311 N314 D332
4rvz:Z:Z1_Z2	Z_Z D9 D11 T90:Z_Z D8 D9 T18 G57 A58
2yjg:A:A1	A_A V125 E126 E128
4aq4:A:A1	A_A N369 R408
4ofz:A:A1	A_A D213 D215 Y221 D424 T425
2pyw:A:A1	A_A D255 E257
4idn:A:A1	A_A S81 T120
3t6c:A:A1	A_A D223 E249 E275
4x0f:B:B1	B_B H446 D447 T517
4qhy:A:A1	A_A T23 T46 D93
1ai3:A:A1	A_A D307 D311
4azw:A:A1_A2	A_A N356 D369:A_A E274 D369
1w78:A:A1	A_A S83 E146
1kcz:A:A1	A_A D238 E273 D307
3wrx:A:A1	A_A M85 G86
4cyj:B:B1	B_B D257 R288
2yhg:A:A1_A2_A3	A_A G876 D879 Y881:A_A Q721 S722 G724 A728:A_A G761 G762 G765 R766 S799 W803 Y875
4cgl:A:A1	A_A V171 L175 R176 E177 K178 R179 L180
4kp1:A:A1	A_A H103 H124 N215 C304 T305 R388
3au9:A:A1	A_A K205 D231 E233 E315
3b9t:A:A1_A2	A_A D341 H343 E357:A_A H160 N314 D316 D341 H343
1xpo:A:A1	A_A T185 R212 E215
4uop:A:A1	A_A E237 T279 D455 H456
4jnd:A:A1_A2	A_A D202 D370 D415:A_A D202 G203
4mnd:A:A1	A_A D357 D360 D378
2fn0:A:A1	A_A E284 E420
2ibp:B:B1	B_B E304 D308
5bn3:B:B1	B_B R92 D93
1do0:B:B1	B_B K63 D256 S307
3cmq:A:A1	A_A F232 L253 G254
4j6b:A:A1	A_A H6 D8
3d47:D:D1	D_D K189 D226 E252 E280
3lj0:A:A1	A_A N802 D828
4uak:A:A1	A_A N205 D218
4c0l:A:A1_A2	A_A T460 D505:A_A D343 D345 D347 A349 E354
1tq6:A:A1	A_A S83 K101 D126
3eph:A:A1_A2	A_A S28 Q49:A_A K294 K298
2gl5:A:A1	A_A E222 E248 E274
4n0n:A:A1	A_A D136 S246 D249 R252
1o1t:B:B1	B_B H194 E198
1ytu:A:A1	A_A Q159 L427
3a52:A:A1_A2_B1	A_A H109 T111 P112 E222:A_A T363 V365:A_B S276 I277
1inp:A:A1_A2	A_A D153 D156 D317:A_A D54 E79 D153 I155 T158
5ckw:B:B1	B_B N200 D213
2xka:A:A1	A_A Q32 D64
4k7y:A:A1	A_A D372 Y375 Q376
3wad:A:A1	A_A E351 E355
3mco:A:A1_A2	A_A D101 D103:A_A D101 D103
3sn0:A:A1	A_A D217 E243 E267
1qs0:A:A1	A_A D213 N242 W244
3be7:F:F1	F_F T128 E392
2pp1:A:A1	A_A K195 D226 E252 E278
4uux:B:B1	B_B G71 D76
4m83:B:B1	B_B R297 Q298 A299
4xrp:B:B1	B_B K60 K61 E120
4k0b:B:B1	B_B K25 D31
1wno:B:B1	B_B S110 R115 D149
3ez6:B:B1	B_B K122 T123 D152
3c4q:A:A1	A_A Y303 R304 A306 T330
2qb8:A:A1	A_A D41 D127 H148 H149
1xin:A:A1	A_A E181 E217 D245 D292
4cvh:A:A1	A_A T125 R126 H127 L234 E235 G237
4r7f:A:A1	A_A E244 D290 D292 Q392
2gms:A:A1	A_A E375 D378
4kem:A:A1	A_A D212 E238 E264
3t2d:A:A1_A2_A3	A_A D52 D53 D132 K133 D234:A_A D11 H18 D52 Q95:A_A D233 D234
